,time,name,price,symbol,marketcap,link,image
0,20211011123916,Bitcoin,57414.08,BTC,1081731106471,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
1,20211011123916,Ethereum,3582.99,ETH,422381650795,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
2,20211011123916,Cardano,2.20,ADA,70401939292,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
3,20211011123916,Binance Coin,417.69,BNB,70229340855,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
4,20211011123916,Tether,1.00,USDT,68434469628,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
5,20211011123916,XRP,1.15,XRP,53819171005,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
6,20211011123916,Solana,146.93,SOL,44039499816,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
7,20211011123916,Polkadot,34.83,DOT,34399115301,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
8,20211011123916,USD Coin,1.00,USDC,33209437301,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
9,20211011123916,Dogecoin,0.2325,DOGE,30607879499,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
10,20211011123947,Bitcoin,57414.08,BTC,1081731106471,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
11,20211011123947,Ethereum,3582.99,ETH,422381650795,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
12,20211011123947,Cardano,2.20,ADA,70401939292,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
13,20211011123947,Binance Coin,417.69,BNB,70229340855,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
14,20211011123947,Tether,1.00,USDT,68434469628,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
15,20211011123947,XRP,1.15,XRP,53819171005,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
16,20211011123947,Solana,146.93,SOL,44039499816,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
17,20211011123947,Polkadot,34.83,DOT,34399115301,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
18,20211011123947,USD Coin,1.00,USDC,33209437301,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
19,20211011123947,Dogecoin,0.2325,DOGE,30607879499,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
20,20211011124017,Bitcoin,57468.78,BTC,1082761729879,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
21,20211011124017,Ethereum,3588.97,ETH,423086557916,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
22,20211011124017,Cardano,2.20,ADA,70315928363,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
23,20211011124017,Binance Coin,417.10,BNB,70129801555,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
24,20211011124017,Tether,1.00,USDT,68423720998,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
25,20211011124017,XRP,1.15,XRP,53869990217,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
26,20211011124017,Solana,146.96,SOL,44049158937,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
